site,barren,imperv,lowveg,road,shrub,structure,water,wetland,tree_total
CC,752,606300,129306,522931,0,1573791,29548,0,277538
CH,3168,313846,271461,189543,0,359876,2167,0,2000103
EG,10144,709877,356825,331044,0,690734,0,0,1041537
FF,4112,712204,573449,537838,0,754572,0,0,557983
KE,90442,820976,369268,545311,15947,846290,58935,0,393004
NE,4605,630318,506925,350721,0,471935,40687,0,1134969
NT,50835,828661,574944,357924,0,783347,46486,0,497954
OC,59,539393,127509,445562,0,676832,612543,0,348908
RB,12759,391095,561009,194402,0,297547,14612,0,1668730
SG,7279,991690,314681,562474,0,950628,19,0,313387
SP,4652,522305,102324,523074,0,1846960,0,0,140836
SW,4250,439537,619124,379965,93163,561317,22737,0,1020047
WP,21341,720505,619199,334325,4856,430313,22359,0,987264
